17:55:44 | 500 |            0s |       127.0.0.1 | POST    | /api/file         | json: cannot unmarshal number into Go struct field CreateFileRequest.parentFolderId of type string
17:55:59 | 200 |            0s |       127.0.0.1 | POST    | /api/file        
17:56:55 | 200 |            0s |       127.0.0.1 | POST    | /api/folder      
18:00:21 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:03:03 | 200 |            0s |       127.0.0.1 | POST    | /api/file        
18:03:21 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:03:24 | 200 |            0s |       127.0.0.1 | POST    | /api/file        
18:04:00 | 200 |       559.9µs |       127.0.0.1 | POST    | /api/file        
18:04:13 | 200 |       503.2µs |       127.0.0.1 | POST    | /api/file        
18:04:22 | 200 |       505.5µs |       127.0.0.1 | POST    | /api/file        
18:04:25 | 200 |       531.8µs |       127.0.0.1 | POST    | /api/file        
18:04:42 | 200 |       502.7µs |       127.0.0.1 | POST    | /api/file        
18:05:09 | 200 |       647.5µs |       127.0.0.1 | POST    | /api/file        
18:05:13 | 200 |            0s |       127.0.0.1 | POST    | /api/file        
18:08:24 | 400 |            0s |       127.0.0.1 | POST    | /api/file        
18:08:27 | 400 |            0s |       127.0.0.1 | POST    | /api/folder      
18:10:47 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:10:51 | 400 |      1.0014ms |       127.0.0.1 | POST    | /api/file        
18:11:01 | 201 |           1ms |       127.0.0.1 | POST    | /api/file        
18:15:35 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:15:43 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:16:46 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:17:01 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:17:38 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:17:51 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:18:15 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:18:36 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:18:46 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:19:00 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:19:19 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:20:11 | 400 |            0s |       127.0.0.1 | POST    | /api/file        
18:20:15 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:22:28 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:22:31 | 400 |            0s |       127.0.0.1 | POST    | /api/file        
18:22:43 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:22:44 | 400 |            0s |       127.0.0.1 | POST    | /api/file        
18:22:48 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:22:54 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:22:58 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:23:22 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:32:59 | 201 |       998.1µs |       127.0.0.1 | POST    | /api/folder      
18:33:56 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence 
18:34:07 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
18:34:17 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:34:33 | 201 |            0s |       127.0.0.1 | POST    | /api/folder      
18:34:49 | 201 |            0s |       127.0.0.1 | POST    | /api/file        
19:28:21 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:28:24 | 400 |            0s |       127.0.0.1 | POST    | /api/file           
19:28:38 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
19:33:17 | 201 |            0s |       127.0.0.1 | POST    | /api/folder         
19:33:30 | 201 |            0s |       127.0.0.1 | POST    | /api/folder         
19:48:19 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:48:22 | 400 |            0s |       127.0.0.1 | POST    | /api/file           
19:48:31 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
19:48:52 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/6556a57b-71ee-4bd5-a2d1-09249fba7d3d 
19:49:02 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/6556a57b-71ee-4bd5-a2d1-09249fba7d3d 
19:49:48 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:49:56 | 201 |       999.3µs |       127.0.0.1 | POST    | /api/file           
19:50:02 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/9dccfeaa-9319-4cff-8e9b-9e2fc1d4773c 
19:50:31 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:50:39 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
19:50:47 | 400 |      1.0011ms |       127.0.0.1 | PUT     | /api/file/46248373-86cd-4b45-ac50-94b901be1966 
19:57:36 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:57:54 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
19:58:14 | 400 |      1.0075ms |       127.0.0.1 | PUT     | /api/file/acc940c9-5dac-4dfe-a618-35192663e522 
19:58:42 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:58:49 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
19:59:06 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/9a520cd3-9862-4f34-baf0-05d955ae949b 
19:59:49 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence    
19:59:57 | 201 |            0s |       127.0.0.1 | POST    | /api/file           
20:00:03 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/f2f37499-df02-4fec-b753-9b1a28d837c7 
21:41:30 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence   
21:41:39 | 201 |            0s |       127.0.0.1 | POST    | /api/file          
21:41:49 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/5c63cbec-0245-47af-9420-b3e3155e6ee3 
21:42:21 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence   
21:42:28 | 201 |            0s |       127.0.0.1 | POST    | /api/file          
21:42:41 | 400 |       999.6µs |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:44:16 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence   
21:44:25 | 201 |            0s |       127.0.0.1 | POST    | /api/file          
21:44:34 | 400 |       999.7µs |       127.0.0.1 | PUT     | /api/file/d9297dc2-b882-46f6-ad3c-100ba9ea90ba 
21:44:40 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/d9297dc2-b882-46f6-ad3c-100ba9ea90ba 
21:46:14 | 200 |            0s |       127.0.0.1 | PUT     | /api/test/d9297dc2-b882-46f6-ad3c-100ba9ea90ba 
21:46:23 | 200 |       520.8µs |       127.0.0.1 | PUT     | /api/test/dgvdg    
21:47:16 | 200 |            0s |       127.0.0.1 | PUT     | /api/test/dgvdg    
21:48:09 | 200 |         504µs |       127.0.0.1 | PUT     | /api/test/dgvdg    
21:48:31 | 404 |            0s |       127.0.0.1 | PUT     | /api/test           | Cannot PUT /api/test
21:48:34 | 404 |            0s |       127.0.0.1 | PUT     | /api/test/          | Cannot PUT /api/test/
21:48:35 | 200 |       150.6µs |       127.0.0.1 | PUT     | /api/test/d        
21:48:37 | 200 |       225.9µs |       127.0.0.1 | PUT     | /api/test/derr     
21:49:31 | 200 |            0s |       127.0.0.1 | PUT     | /api/test/derr     
21:50:13 | 200 |            0s |       127.0.0.1 | GET     | /adff              
21:50:25 | 405 |            0s |       127.0.0.1 | GET     | /adff               | Method Not Allowed
21:50:29 | 200 |            0s |       127.0.0.1 | PUT     | /adff              
21:50:49 | 200 |            0s |       127.0.0.1 | PUT     | /api/test/dgvdg    
21:50:59 | 404 |            0s |       127.0.0.1 | PUT     | /api/test/dgvdg     | Cannot PUT /api/test/dgvdg
21:51:05 | 200 |            0s |       127.0.0.1 | PUT     | /api/dgvdg         
21:51:43 | 200 |            0s |       127.0.0.1 | PUT     | /api/dgvdg         
21:51:44 | 200 |            0s |       127.0.0.1 | PUT     | /api/dgvdg         
21:51:46 | 405 |            0s |       127.0.0.1 | PUT     | /dffef              | Method Not Allowed
21:51:50 | 200 |            0s |       127.0.0.1 | GET     | /dffef             
21:52:07 | 200 |            0s |       127.0.0.1 | GET     | /api/vcefvegf      
21:52:37 | 200 |            0s |       127.0.0.1 | GET     | /api/vcefvegf      
21:52:41 | 405 |            0s |       127.0.0.1 | GET     | /apicroc/vcefvegf   | Method Not Allowed
21:52:45 | 200 |            0s |       127.0.0.1 | PUT     | /apicroc/vcefvegf  
21:52:56 | 200 |            0s |       127.0.0.1 | PUT     | /api/vcefvegf      
21:53:22 | 200 |            0s |       127.0.0.1 | PUT     | /api/vcefvegf      
21:53:33 | 200 |            0s |       127.0.0.1 | PUT     | /api/vcefvegf      
21:53:46 | 200 |            0s |       127.0.0.1 | PUT     | /api/vcefvegf      
21:54:15 | 400 |       503.5µs |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:54:29 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:54:40 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:54:41 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:10 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:11 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:23 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:27 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:28 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:55:43 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:56:32 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:56:54 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:57:18 | 405 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324  | Method Not Allowed
21:57:22 | 200 |            0s |       127.0.0.1 | PUT     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:57:31 | 405 |            0s |       127.0.0.1 | PUT     | /f18e65ad-47f3-438f-9ebb-bb6704522324  | Method Not Allowed
21:57:33 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:58:03 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:58:36 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:58:52 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:58:55 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:58:56 | 200 |            0s |       127.0.0.1 | GET     | /f18e65ad-47f3-438f-9ebb-bb6704522324 
21:59:32 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
21:59:33 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
22:00:14 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
22:00:26 | 200 |            0s |       127.0.0.1 | PUT     | /api/edit/f18e65ad-47f3-438f-9ebb-bb6704522324 
22:01:20 | 400 |            0s |       127.0.0.1 | PUT     | /api/file/f18e65ad-47f3-438f-9ebb-bb6704522324 
22:01:23 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence  
22:01:30 | 201 |       164.3µs |       127.0.0.1 | POST    | /api/file         
22:01:37 | 200 |            0s |       127.0.0.1 | PUT     | /api/file/f44361c0-98f6-4427-adb4-b0057dbf879c 
14:26:02 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
14:26:52 | 400 |            0s |       127.0.0.1 | POST    | /api/folder           
14:27:05 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
14:27:26 | 200 |            0s |       127.0.0.1 | PUT     | /api/folder/ecc86666-95b4-4fe7-93f5-ad49db643a3c 
14:40:26 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
14:44:52 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
14:45:01 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
14:45:04 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
14:45:13 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
14:45:21 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
14:46:42 | 200 |            0s |       127.0.0.1 | POST    | /api/file/move        
14:55:50 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
14:56:07 | 201 |       504.7µs |       127.0.0.1 | POST    | /api/file             
15:00:10 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:00:13 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:00:25 | 200 |       692.4µs |       127.0.0.1 | DELETE  | /api/file/e748a78f-7fdd-4bad-a82f-6871a7e45d4a 
15:00:33 | 201 |       501.2µs |       127.0.0.1 | POST    | /api/file             
15:00:35 | 400 |            0s |       127.0.0.1 | POST    | /api/file             
15:00:40 | 201 |       594.3µs |       127.0.0.1 | POST    | /api/file             
15:01:17 | 201 |       170.7µs |       127.0.0.1 | POST    | /api/folder           
15:01:39 | 200 |      2.0148ms |       127.0.0.1 | POST    | /api/file/move        
15:01:58 | 200 |      1.2563ms |       127.0.0.1 | POST    | /api/file/move        
15:02:42 | 200 |      1.0911ms |       127.0.0.1 | POST    | /api/file/move        
15:03:13 | 200 |       830.6µs |       127.0.0.1 | POST    | /api/file/move        
15:03:40 | 200 |       1.212ms |       127.0.0.1 | POST    | /api/file/move        
15:05:05 | 200 |      3.0846ms |       127.0.0.1 | POST    | /api/file/move        
15:05:21 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:05:32 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:05:37 | 201 |         275µs |       127.0.0.1 | POST    | /api/file             
15:07:24 | 201 |         265µs |       127.0.0.1 | POST    | /api/folder           
15:07:26 | 201 |       229.2µs |       127.0.0.1 | POST    | /api/folder           
15:08:08 | 200 |       1.092ms |       127.0.0.1 | POST    | /api/file/move        
15:08:32 | 200 |       984.2µs |       127.0.0.1 | POST    | /api/file/move        
15:13:35 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:13:53 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:13:56 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:13:59 | 201 |       615.1µs |       127.0.0.1 | POST    | /api/file             
15:14:02 | 201 |       450.6µs |       127.0.0.1 | POST    | /api/folder           
15:14:28 | 200 |      2.3783ms |       127.0.0.1 | POST    | /api/file/move        
15:16:45 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:16:48 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:16:50 | 201 |       596.7µs |       127.0.0.1 | POST    | /api/folder           
15:17:08 | 200 |      1.0337ms |       127.0.0.1 | POST    | /api/file/move        
15:17:20 | 400 |      1.3338ms |       127.0.0.1 | POST    | /api/file/move        
15:21:32 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:21:34 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:21:37 | 201 |       377.1µs |       127.0.0.1 | POST    | /api/file             
15:21:39 | 201 |      1.2848ms |       127.0.0.1 | POST    | /api/folder           
15:21:41 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
15:22:05 | 200 |       1.688ms |       127.0.0.1 | POST    | /api/file/move        
15:23:13 | 400 |      2.2264ms |       127.0.0.1 | POST    | /api/file/move        
15:26:44 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:26:46 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:26:49 | 201 |         467µs |       127.0.0.1 | POST    | /api/file             
15:26:53 | 201 |       287.8µs |       127.0.0.1 | POST    | /api/folder           
15:27:11 | 200 |      2.7958ms |       127.0.0.1 | POST    | /api/file/move        
15:27:47 | 200 |      5.4662ms |       127.0.0.1 | POST    | /api/file/move        
15:34:02 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:34:05 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:34:07 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
15:34:25 | 200 |      1.0003ms |       127.0.0.1 | POST    | /api/file/move        
15:35:43 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:35:44 | 201 |       636.5µs |       127.0.0.1 | POST    | /api/folder           
15:35:46 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:36:02 | 200 |       354.1µs |       127.0.0.1 | POST    | /api/file/move        
15:41:25 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:41:28 | 201 |        95.8µs |       127.0.0.1 | POST    | /api/file             
15:41:29 | 201 |       920.3µs |       127.0.0.1 | POST    | /api/folder           
15:41:52 | 200 |       774.7µs |       127.0.0.1 | POST    | /api/file/move        
15:42:10 | 200 |         681µs |       127.0.0.1 | POST    | /api/file/move        
15:46:13 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
15:46:14 | 201 |       558.5µs |       127.0.0.1 | POST    | /api/folder           
15:46:15 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
15:46:34 | 200 |      1.4387ms |       127.0.0.1 | POST    | /api/file/move        
15:47:44 | 101 |       504.2µs |       127.0.0.1 | GET     | /ws/arborescence      
15:47:46 | 201 |         504µs |       127.0.0.1 | POST    | /api/file             
15:47:47 | 201 |       302.1µs |       127.0.0.1 | POST    | /api/folder           
15:48:04 | 200 |      2.2605ms |       127.0.0.1 | POST    | /api/file/move        
15:48:28 | 200 |      1.4297ms |       127.0.0.1 | POST    | /api/file/move        
15:48:42 | 200 |      1.9626ms |       127.0.0.1 | POST    | /api/file/move        
15:49:02 | 201 |       872.8µs |       127.0.0.1 | POST    | /api/file             
15:49:08 | 201 |      1.0002ms |       127.0.0.1 | POST    | /api/folder           
15:49:27 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
15:49:51 | 200 |      2.1958ms |       127.0.0.1 | POST    | /api/file/move        
15:50:21 | 200 |      1.0714ms |       127.0.0.1 | POST    | /api/file/move        
09:41:06 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
09:41:16 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
09:41:20 | 400 |            0s |       127.0.0.1 | POST    | /api/file             
09:41:28 | 201 |       205.6µs |       127.0.0.1 | POST    | /api/file             
09:41:42 | 201 |            0s |       127.0.0.1 | POST    | /api/folder           
09:41:44 | 201 |       244.5µs |       127.0.0.1 | POST    | /api/folder           
09:41:46 | 400 |            0s |       127.0.0.1 | POST    | /api/folder           
09:41:48 | 400 |            0s |       127.0.0.1 | POST    | /api/folder           
09:43:06 | 101 |       723.9µs |       127.0.0.1 | GET     | /ws/file/9f905ed2-a44b-4919-908e-1496df6b43e5 
09:44:31 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
09:44:35 | 201 |       503.4µs |       127.0.0.1 | POST    | /api/file             
09:44:45 | 101 |            0s |       127.0.0.1 | GET     | /ws/file/c5260c6d-4f48-4f17-8a49-3d77ab99f396 
09:54:32 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
09:54:37 | 201 |       502.8µs |       127.0.0.1 | POST    | /api/file             
09:57:05 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
09:57:14 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
